run_id,task_id,agent_id,model_id,model_family,label,seg,n_frag_total,n_steps_total
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-7336,astropy__astropy-7336,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,159,11
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-7606,astropy__astropy-7606,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,80,11
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-7671,astropy__astropy-7671,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,110,13
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-8707,astropy__astropy-8707,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,87,11
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-8872,astropy__astropy-8872,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,492,33
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-10097,django__django-10097,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,237,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-10554,django__django-10554,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,429,28
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-10880,django__django-10880,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,188,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-10914,django__django-10914,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,170,19
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-10973,django__django-10973,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,43,5
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-10999,django__django-10999,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,300,16
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11066,django__django-11066,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,37,5
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11087,django__django-11087,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,592,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11095,django__django-11095,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,41,7
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11099,django__django-11099,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,543,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11119,django__django-11119,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,76,9
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11133,django__django-11133,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,278,19
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11138,django__django-11138,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,674,24
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11141,django__django-11141,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,197,19
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11149,django__django-11149,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,769,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11163,django__django-11163,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,91,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11179,django__django-11179,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,45,5
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11206,django__django-11206,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,574,11
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11211,django__django-11211,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,358,19
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11239,django__django-11239,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,709,60
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11265,django__django-11265,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,130,13
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11276,django__django-11276,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,295,18
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,435,16
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11299,django__django-11299,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,198,24
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11333,django__django-11333,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,234,11
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11400,django__django-11400,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,506,28
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11433,django__django-11433,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,263,11
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11451,django__django-11451,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,162,5
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11477,django__django-11477,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,739,16
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11490,django__django-11490,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,179,20
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11532,django__django-11532,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,227,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11551,django__django-11551,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,220,9
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11555,django__django-11555,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,141,18
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11603,django__django-11603,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,91,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11728,django__django-11728,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,643,19
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11734,django__django-11734,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,471,35
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11740,django__django-11740,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,167,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11749,django__django-11749,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,150,16
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11790,django__django-11790,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,175,13
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11815,django__django-11815,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,144,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11820,django__django-11820,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,214,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11848,django__django-11848,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,171,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11880,django__django-11880,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,128,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11885,django__django-11885,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,287,28
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11951,django__django-11951,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,284,9
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11964,django__django-11964,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,985,41
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11999,django__django-11999,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,129,20
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12039,django__django-12039,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,598,6
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12050,django__django-12050,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,115,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12125,django__django-12125,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,712,28
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12143,django__django-12143,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,136,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12155,django__django-12155,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,227,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12193,django__django-12193,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,255,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12209,django__django-12209,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,341,15
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12262,django__django-12262,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,458,13
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12273,django__django-12273,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,408,19
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12276,django__django-12276,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,138,15
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12304,django__django-12304,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,48,9
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12308,django__django-12308,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,488,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12325,django__django-12325,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,644,40
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12406,django__django-12406,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,436,28
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12419,django__django-12419,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,243,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12663,django__django-12663,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,792,39
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12708,django__django-12708,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,245,21
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12713,django__django-12713,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,152,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12741,django__django-12741,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,71,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12754,django__django-12754,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,285,27
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12774,django__django-12774,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,327,15
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12858,django__django-12858,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,742,32
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12965,django__django-12965,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,412,26
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13012,django__django-13012,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,162,25
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13023,django__django-13023,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,182,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13028,django__django-13028,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,176,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13033,django__django-13033,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,1128,33
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13089,django__django-13089,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,42,5
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13109,django__django-13109,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,85,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13112,django__django-13112,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,718,26
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13121,django__django-13121,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,573,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13128,django__django-13128,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,437,16
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13158,django__django-13158,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,236,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13195,django__django-13195,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,321,25
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13212,django__django-13212,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,235,26
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13279,django__django-13279,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,370,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13297,django__django-13297,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,211,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13315,django__django-13315,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,73,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13343,django__django-13343,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,317,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13344,django__django-13344,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,1225,13
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13346,django__django-13346,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,377,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13363,django__django-13363,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,57,7
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13401,django__django-13401,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,394,21
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13406,django__django-13406,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,320,29
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13410,django__django-13410,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,72,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13417,django__django-13417,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,153,18
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13449,django__django-13449,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,524,33
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13512,django__django-13512,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,241,20
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13513,django__django-13513,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,158,16
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13516,django__django-13516,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,982,51
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13551,django__django-13551,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,376,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13568,django__django-13568,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,841,6
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13569,django__django-13569,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,244,24
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13590,django__django-13590,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,131,11
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13658,django__django-13658,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,4580,9
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13670,django__django-13670,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,118,15
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13741,django__django-13741,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,79,9
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13786,django__django-13786,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,568,11
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13794,django__django-13794,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,267,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13807,django__django-13807,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,49,6
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13809,django__django-13809,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,105,13
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13810,django__django-13810,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,274,7
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13820,django__django-13820,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,405,7
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13821,django__django-13821,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,249,15
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13837,django__django-13837,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,322,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13925,django__django-13925,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,357,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13933,django__django-13933,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,456,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13964,django__django-13964,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,915,59
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14007,django__django-14007,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,351,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14011,django__django-14011,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,242,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14017,django__django-14017,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,283,23
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14034,django__django-14034,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,438,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14053,django__django-14053,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,565,13
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14089,django__django-14089,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,508,31
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14122,django__django-14122,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,702,51
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14140,django__django-14140,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,436,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14155,django__django-14155,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,391,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14170,django__django-14170,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,152,16
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14238,django__django-14238,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,202,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14311,django__django-14311,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,517,9
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14315,django__django-14315,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,34,5
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14349,django__django-14349,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,98,14
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14351,django__django-14351,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,228,19
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14373,django__django-14373,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,55,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14376,django__django-14376,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,28,6
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14404,django__django-14404,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,37,6
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14434,django__django-14434,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,109,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14493,django__django-14493,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,250,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14500,django__django-14500,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,496,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14534,django__django-14534,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,366,16
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14539,django__django-14539,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,679,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14559,django__django-14559,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,89,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14580,django__django-14580,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,171,22
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14608,django__django-14608,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,228,33
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14631,django__django-14631,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,539,45
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14672,django__django-14672,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,193,23
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14725,django__django-14725,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,257,31
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14752,django__django-14752,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,194,4
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14765,django__django-14765,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,160,6
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14771,django__django-14771,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,200,20
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14787,django__django-14787,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,140,11
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14792,django__django-14792,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,263,11
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14855,django__django-14855,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,165,12
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14915,django__django-14915,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,163,27
